product_id,product_name,category,price,stock_quantity,supplier_id,is_available
1c48b4d3-c845-45fb-ac51-b16e82bf58dc,Team-oriented asymmetric toolset,Clothing,536.49,5424,02ba03a5-c0ff-424a-83de-44a4554ce6de,True
698ba555-11ca-499c-b336-5a0c8b3ad0b4,De-engineered analyzing website,Clothing,4093.38,9078,d1f8fbba-a26b-410b-abe4-cebfb1d714d7,False
7d10d52c-a763-4b35-9a74-50079216e50c,Organic analyzing framework,Food,2974.7,1571,368ff984-ab76-48fb-abf5-2196c7dd7864,True
2c1df8f9-31aa-4ff3-b2b4-97f7c88c5b22,Seamless responsive Internet solution,Books,5718.12,8043,e0ed72ef-f1da-40fa-93df-ca5196e5cb00,True
ef91ff1e-d015-432f-a964-ff03e2433f9c,Cloned bi-directional service-desk,Electronics,3608.92,7005,eba4ba03-d703-4f6c-9988-39ec4cfede58,True
d8d73189-0440-40da-acfa-825892a0d74b,Centralized next generation application,Food,8239.14,9833,d87913c8-7962-420b-a0c9-3120e975c1ef,False
1ae16d03-3e01-4db3-89c8-459bd62c35dc,Implemented homogeneous initiative,Clothing,970.76,3390,c04b2e5d-682e-4a98-b5a5-ebfbef2d1361,True
8cee2012-a7f5-420b-b657-4ece0d2c5d65,Cross-platform regional system engine,Food,9770.59,7758,e7067907-a840-4ae9-9f27-a3bc1230f745,True
5b335575-a545-46a9-8c8a-94ea69222f90,Open-source discrete policy,Food,7848.97,7715,8175c487-a38e-4c74-b867-0d3fc4bf0218,False
5fc3e225-f51c-4dcb-92ec-3e5b0b50296f,Switchable regional access,Food,912.27,8914,4b18a0a3-9e05-473b-8f50-ef7240b10eab,False
1c7304f3-776a-42a9-b120-1122478130bf,Persevering human-resource Local Area Network,Clothing,3710.82,6249,d61009ef-871a-4ec2-8ed3-4a05bec570a9,False
ac5545fb-c48b-40ac-abf1-28393685be14,Optimized regional process improvement,Clothing,4458.3,4313,a26c8999-85cb-447f-a1e5-4267470c9faa,False
a9101aef-2933-471b-bbcb-72ca8f589f61,Cross-platform global projection,Books,2634.73,4400,eed63008-1773-404a-9e98-ac00e7a400f9,True
5a22fc61-ca54-49b9-89b1-f427e92cb695,Synergistic zero tolerance algorithm,Clothing,7522.59,1584,55089a2a-744a-422a-9474-bfd7187e5878,True
650b787d-7655-449d-9c2b-428ba9c3c1ea,Persevering multi-state groupware,Food,8081.98,6782,22e05c2f-f0b3-4ab8-ad04-278c79dfbdab,True
c1aaf3ed-46da-48bd-b13d-558ee156a217,Reverse-engineered content-based benchmark,Sports,610.77,6342,13659299-74b7-4fab-ba51-8cc0bfa7d231,False
d17edc2a-679c-4024-a47d-2fdac9c5d7bd,Customer-focused 24/7 policy,Sports,6870.98,7779,c3ce8b03-75a0-45e8-b44a-f9ca9bc38942,True
