order_id,customer_id,product_id,order_date,quantity,unit_price,status,discount_pct
07dc7f4d-b715-4a0b-ad39-b80cfb265469,7bbca472-4180-49ac-88e4-362da0b916db,763e9dad-4327-4303-aa3e-760e7c9716bd,2021-09-09,39,87.41,cancelled,11.44
571f574b-6ff6-46fc-8bb9-98f7dcdfd910,d9ce46a3-8cb7-4d3e-a0c0-8a33aa481f22,616e3c25-8191-4c88-8bc0-e250880be05a,2020-03-04,31,157.16,shipped,4.09
c91dc426-f45a-4942-ac7c-159d02dae97e,1fe7d2e6-eabd-4224-bcae-5074840c481b,e486c349-508f-4296-b7bc-57b32a3ffa1b,2021-08-27,41,144.92,delivered,28.72
6c522194-b868-4c54-bcf8-b538850bb00d,b6c9a8b2-f8d1-4a8e-a7a4-4791c79f02a7,91679af7-a921-4d30-ac17-78a886f153ab,2024-11-26,36,142.22,pending,0.15
702dc4ab-0293-45f1-9a82-1b06c840f7b6,722dd924-c4cf-49d7-b041-888efa03cee6,6866fd00-1d96-46f7-8aca-4e525ca05d0d,2023-01-05,36,947.02,delivered,6.3
7f86df9d-255f-4910-889f-2ce1dff03987,de834b06-7420-409f-bfe1-ac82e322fb17,219ee612-7002-4f31-a1e6-41c7683e5f18,2021-12-05,14,413.23,shipped,4.83
87e0561b-ce8f-43c4-b13d-9f85fc239dca,7a2245f6-3dfa-4d15-9ce3-f4429b4d7fca,f2aacfe0-5178-4b30-a5d8-a67bb9d0e7b0,2024-09-05,17,195.12,shipped,20.13
ea9e26c8-a16e-41d0-8795-66a2d671c4ce,f018c2f7-2948-408f-8ec0-e43d00694aea,5a22fc61-ca54-49b9-89b1-f427e92cb695,2024-10-09,49,932.43,cancelled,19.34
bfeb4bd6-ac1b-437f-aa25-332bbbe355ce,771db99c-49dd-49fc-85e3-35e9a1bf0cfa,42eb8a45-b274-43e5-bc97-33f924dbc3f5,2023-10-07,5,251.43,shipped,21.77
5c6a12c5-0449-4bdc-9c23-803db7a5448b,850597c2-6686-445c-8062-ac83c6701c1e,3c13e4d9-d04e-4294-8c39-a3fedac33a25,2022-01-01,9,671.61,shipped,3.0
2c7107ed-df28-4707-bd3f-945fcd638bdb,d9b59746-9ec8-4bc2-afdc-a72b24e0ae8c,15677dd2-1369-43b5-bd35-6cf3b4d6f65f,2021-01-31,21,486.37,delivered,18.49
a222c0fc-204f-4ed2-9f9d-9c36c754ad56,61b65915-2da6-4b6d-910b-8b18e18763fa,bc5e76dc-cae9-45bc-bbf5-77a0311b8f04,2023-04-11,10,565.98,delivered,24.23
78be618c-030f-4c6f-8042-93ee72f9992d,d1d37bca-a181-44f7-8a77-355cd694c196,1f17db2b-a5a0-4eb9-87d5-b37cd8907840,2020-12-11,1,313.89,shipped,21.37
8e8ce1f4-5c2d-41f2-aacd-9facaeafb16c,8fd23d64-2dab-402f-97f2-b58b8d67a632,be6e8db1-f968-4968-8f00-06db1e84879f,2021-07-20,24,135.16,delivered,26.34
9392fcd2-818c-48f3-ac95-f6a9dc08606b,a262b417-ef20-4d75-a204-699068bb106f,6b875f24-599f-410e-bce0-e8cb3a4bfa6d,2022-01-04,50,306.16,pending,5.27
2b40c134-98d1-4d90-abb5-ed8d3ce3f268,3911b281-20a1-4c2c-8877-20bd2dbc065d,2fcaacd2-74c8-466b-828b-95997bad959e,2024-09-19,18,858.84,shipped,26.74
f3358400-6a4f-4b38-bb12-110d9c9fbcbb,4e3563b1-78dc-447b-bba7-0d827903076b,d59bad3a-63d0-49a1-bc6f-95d5f3318e02,2024-02-11,41,77.38,pending,26.76
d34b1918-eda8-472c-9359-0a858015e580,b800c5ae-33c6-4093-a705-9db7910765c2,4701f959-e382-4a23-afaa-763ef31ae3fa,2023-07-17,2,812.82,cancelled,23.08
5f9d5dd7-e60e-43e3-9b82-7977a3f3931b,064b5b4d-fc81-49e3-acaa-be0d18fc155d,5fc3e225-f51c-4dcb-92ec-3e5b0b50296f,2023-02-03,17,543.92,cancelled,19.62
a551314a-1388-4f72-b3aa-d4372e2830cc,d9294a99-6dd5-4b1a-b6db-a1749bf4c426,f83e4da8-392b-425f-9c91-2c81ca5dd08c,2022-03-14,15,891.54,delivered,4.02
c43f93af-fa20-4818-a476-4725c49ac093,3188af85-786b-4d02-b673-7ff788ee2f23,6dba132c-a557-437d-abb7-ed964ed290d1,2020-07-04,26,364.49,pending,19.88
18512dde-e246-4f13-a767-a4010d0d1fd5,cc876ca2-de33-4af8-a1c5-c6716665a117,f2aacfe0-5178-4b30-a5d8-a67bb9d0e7b0,2023-11-02,11,757.44,shipped,13.39
d93a0fed-049d-4d9d-961b-68ff72ff8da8,de7bfb2d-c1c4-4e7f-bdf6-98f37f7571e7,5d3e39a3-d1ab-4fd5-bd99-64ecf8fadace,2023-03-04,43,872.31,shipped,22.08
d89fa8f5-878a-491a-911e-c9c83cbb9ad4,8144725b-c7b3-4ffa-be59-c381b22876a3,acd91acd-4895-4ed9-97c2-51135571436b,2020-03-23,15,761.7,shipped,1.89
be6ff13c-2421-4470-90e9-a8d5b69a6ee1,07e49f88-d6c7-4cc7-8aef-91fa49f8a6cb,1e0ea8e0-54d1-43b9-a152-99f883864026,2020-03-28,43,207.56,delivered,11.64
6bd0ba22-ff0c-4ebe-b414-4ace7a13ac4e,b44ae3db-5e05-4a7d-9321-5a547821b0fa,e9221dae-8f13-4898-9b43-3edebe898713,2024-12-10,3,40.85,delivered,3.1
d28cfcf1-b2b8-46c5-99ea-96820b3ad45a,4ff44513-9788-4078-ae1e-bcd118a69bb6,b41a2605-64d9-4cc5-9710-cf2ca727c934,2023-07-21,18,835.03,delivered,17.36
9b32f208-a027-4f05-808c-fc4e39fab4e6,39367a50-b4f7-4aa8-8743-6aae19600772,e73d3995-b6dc-44be-9d16-d340e4e685f2,2022-02-10,42,379.13,pending,15.5
cfb9d895-7bf8-4faa-abb3-ce84dcc68afe,6736d457-aeb2-47ec-85c2-e7e0b55c8793,1996ee97-e5ed-4529-8f36-970472431c77,2022-11-23,26,353.54,delivered,14.61
7dba83cf-5c54-4235-b6df-d27f92cc9c2a,f0cc2d97-1b66-45dd-93f9-04aa1215f5bf,603090e6-91db-4735-8d27-5282d49d6346,2020-01-14,33,882.14,cancelled,4.97
